Assalto	O
de	O
veículo	CONSUMER_GOOD
com	O
vítima	PERSON
de	O
tiro	OTHER
na	O
Rua	O
Pinto	O
Teles	O
,	O
1231	O
.	O
Assaltante	O
levou	O
veículo	CONSUMER_GOOD
da	O
vítima	PERSON
e	O
atirou	O
nas	O
suas	O
costas	OTHER
a	O
queima	OTHER
roupa	O
e	O
o	O
projétil	OTHER
saiu	O
por	O
outro	O
orifício	OTHER
nas	O
costas	OTHER
.	O

"	O
Um	O
indivíduo	PERSON
,	O
vulgo	O
"	O
"	O
shahin	OTHER
"	O
"	O
​	O
está	O
oferecendo	O
mais	O
de	O
30	O
relógios	CONSUMER_GOOD
novos	O
(	O
com	O
caixa	CONSUMER_GOOD
e	O
etiqueta	OTHER
de	O
preço	OTHER
de	O
joalherias	OTHER
)	O
pela	O
metade	OTHER
(	O
ou	O
um	O
terço	OTHER
)	O
do	O
preço	OTHER
pago	O
em	O
lojas	ORGANIZATION
,	O
na	O
Olx	ORGANIZATION
.	O
Há	O
o	O
contato	OTHER
do	O
elemento	OTHER
,	O
e	O
etiqueta	OTHER
de	O
preço	OTHER
de	O
alguns	O
relógios	CONSUMER_GOOD
nas	O
fotos	WORK_OF_ART
anexas	O
.	O
"	O

Venda	EVENT
de	O
motos	CONSUMER_GOOD
roubadas	O
pela	O
internet	OTHER
.	O

Tem	O
um	O
carro	CONSUMER_GOOD
roubado	O
LUB	O
4127gol	O
branco	OTHER

Onde	O
eu	O
moro	O
tem	O
um	O
morador	PERSON
que	O
roubou	O
dinheiro	OTHER
de	O
uma	O
dona	PERSON
de	O
um	O
mercado	OTHER
daqui	O
.	O

Bonde	OTHER
do	O
Ricardinho	PERSON
reunido	O
junto	O
com	O
Artur	PERSON
ex	O
PM	ORGANIZATION
na	O
rua	O
juiz	PERSON
de	O
fora	O
bairro	LOCATION
Pantanal	LOCATION
vários	O
elememtos	PERSON
armados	O

Acaba	O
de	O
chegar	O
na	O
rua	O
juiz	PERSON
de	O
fora	O
no	O
alto	OTHER
do	O
morro	LOCATION
no	O
bairro	LOCATION
Pantanal	LOCATION
uma	O
Palio	OTHER
vermelha	O
com	O
o	O
ladrão	OTHER
de	O
carga	OTHER
Ricardinho	PERSON
ele	O
e	O
mais	O
2	O
elementos	OTHER
armados	O
entrou	O
na	O
casa	LOCATION
de	O
sua	O
mãe	PERSON
Estou	O
denunciando	O
desde	O
ontem	O
e	O
até	O
agora	O
nada	OTHER
ele	O
estava	O
aqui	O
ontem	O
também	O

Comércio	OTHER
de	O
motos	CONSUMER_GOOD
roubadas	O
na	O
internet	OTHER
.	O

Por	O
volta	OTHER
de	O
sábado	O
apareceu	O
no	O
mural	OTHER
do	O
meu	O
prédio	LOCATION
,	O
na	O
rua	O
Garibaldi	O
,	O
47	O
na	O
tijuca	OTHER
um	O
aviso	OTHER
sobre	O
manutenção	EVENT
da	O
net	OTHER
que	O
estaria	O
agendada	O
para	O
hj	O
dia	O
27	O
de	O
junho	O
no	O
horário	O
comercial	O
.	O
Na	O
segunda-feira	O
dia	O
26	O
a	O
sindica	OTHER
do	O
prédio	LOCATION
retirou	O
o	O
aviso	OTHER
e	O
orientou	O
os	O
moradores	PERSON
a	O
não	O
abrir	O
a	O
porta	OTHER
para	O
ninguém	PERSON
dizendo	O
ser	O
da	O
net	OTHER
.	O
Ela	O
alegou	O
não	O
ter	O
sido	O
procurada	O
pela	O
empresa	ORGANIZATION
e	O
por	O
isso	O
achou	O
estranho	O
.	O
Na	O
segunda-feira	O
a	O
noite	O
liguei	O
para	O
a	O
net	OTHER
questionando	O
se	O
a	O
empresa	ORGANIZATION
sabia	O
de	O
algo	OTHER
e	O
o	O
atendente	PERSON
me	O
disse	O
que	O
havia	O
informações	OTHER
no	O
sistema	OTHER
de	O
que	O
haveria	O
manutenção	EVENT
preventiva	O
agendada	O
para	O
o	O
dia	O
28	O
de	O
junho	O
e	O
autorizada	O
pelo	O
sindico	OTHER
Sr	PERSON
.	O
José	PERSON
.	O
Ocorre	O
que	O
o	O
sindico	OTHER
do	O
prédio	LOCATION
é	O
mulher	PERSON
.	O
Avisei	O
a	O
ela	O
e	O
liguei	O
pra	O
polícia	ORGANIZATION
que	O
só	O
atua	O
repressivamente	O
.	O

Pessoa	PERSON
dentro	O
do	O
banco	ORGANIZATION
Itaú	ORGANIZATION
da	O
rua	O
marquês	O
de	O
Abrantes	O
no	O
Flamengo	ORGANIZATION
,	O
possivelmente	O
esperando	O
pessoas	PERSON
passarem	O
para	O
assaltar	O
.	O
Está	O
atrás	O
da	O
guarita	OTHER
que	O
fica	O
dentro	O
do	O
Itaú	ORGANIZATION
,	O
fora	O
de	O
vista	OTHER
.	O
Quando	O
ia	O
entrar	O
com	O
um	O
senhor	PERSON
,	O
o	O
indivíduo	PERSON
se	O
levantou	O
e	O
foi	O
até	O
nos	O
,	O
por	O
isso	O
não	O
entramos	O

Bom	O
dia	O
,	O
veículo	CONSUMER_GOOD
roubado	O
!	O
!	O
Dentro	O
de	O
um	O
quintal	LOCATION
!	O
!	O
Rua	O
Pacheco	O
da	O
Rocha	O
.	O
.	O
850	O
fundos	OTHER
casa	LOCATION
2	O

No	O
momento	O
ladrões	PERSON
de	O
cargas	OTHER
reunidos	O
na	O
juiz	PERSON
de	O
fora	O
bando	OTHER
do	O
ricardinho	PERSON
junto	O
com	O
Artur	PERSON
ex	O
PM	ORGANIZATION

carro	CONSUMER_GOOD
suspeito	O
no	O
Méier	LOCATION
placa	O
kxa	OTHER
4008	O
carro	CONSUMER_GOOD
na	O
contra	O
mao	OTHER
com	O
marca	OTHER
de	O
tiros	OTHER
no	O
parabrisa	LOCATION

Rua	O
juiz	PERSON
de	O
fora	O
vários	O
ladrões	PERSON
de	O
cargas	OTHER
reunidos	O
bonde	OTHER
do	O
Ricardinho	PERSON
junto	O
com	O
Artur	PERSON
ex	O
PM	ORGANIZATION

roubo	EVENT
de	O
auto	CONSUMER_GOOD
,	O
Nissan	ORGANIZATION
versa	O
Branco	O
placa	OTHER
EYA-2474	OTHER
em	O
Vila	O
Valqueire	O
na	O
Rua	O
Cairuçu	O
esquina	O
com	O
Rua	O
Jagoroaba	O
.	O
Os	O
bandidos	PERSON
estavam	O
em	O
um	O
cobalt	OTHER
prata	OTHER
e	O
seguiram	O
em	O
sentido	OTHER
ignorado	O
,	O
o	O
cobalt	OTHER
tinha	O
Insulfilm	OTHER
e	O
só	O
vimos	O
que	O
o	O
carona	OTHER
saiu	O
ja	O
armado	O
em	O
.	O
nossa	O
direção	OTHER
.	O

Roubo	O
de	O
carro	CONSUMER_GOOD
por	O
volta	OTHER
de	O
10	O
:	O
30	O
,	O
no	O
sinal	OTHER
da	O
Avenida	O
Jambeiro	O
com	O
Rua	O
Cairuçu	O
.	O
Homem	PERSON
a	O
pé	OTHER
,	O
armado	O
.	O
Colocou	O
arma	CONSUMER_GOOD
na	O
cabeça	OTHER
da	O
minha	O
mãe	PERSON
e	O
disse	O
que	O
iria	O
usar	O
o	O
carro	CONSUMER_GOOD
e	O
depois	O
largar	O
pelas	O
redondezas	OTHER
.	O
Prisma	O
Branco	O
Placa	O
LLY8627	O

Carro	CONSUMER_GOOD
roubado	O
e	O
abandonado	O
na	O
vila	O
kennedy	O

Hoje	O
por	O
volta	OTHER
das	O
6	O
:	O
15h	O
,	O
na	O
Estrada	O
do	O
Tindiba	O
1493	O
em	O
frente	OTHER
a	O
este	O
numero	OTHER
,	O
fui	O
assaltada	O
por	O
uma	O
moto	CONSUMER_GOOD
que	O
passava	O
com	O
um	O
homem	PERSON
ele	O
levou	O
minha	O
mochila	OTHER
.	O
não	O
deu	O
tempo	O
de	O
pegar	O
a	O
placa	OTHER
da	O
mot	OTHER
,	O
no	O
mês	O
passado	O
eu	O
fui	O
assaltada	O
por	O
esse	O
mesmo	O
homem	PERSON
e	O
no	O
mesmo	O
local	LOCATION
.	O

Hoje	O
,	O
por	O
volta	OTHER
das	O
10	O
:	O
00/11	O
:	O
00	O
hrs	O
,	O
meu	O
pai	PERSON
foi	O
assaltado	O
por	O
dois	O
marginais	PERSON
armados	O
numa	O
moto	CONSUMER_GOOD
(	O
aparentemente	O
uma	O
XRE	O
Preta	O
e	O
sem	O
placa	OTHER
)	O
entre	O
a	O
igreja	LOCATION
São	O
Bartolomeu	O
e	O
o	O
posto	OTHER
Ipiranga	LOCATION
,	O
perto	O
da	O
entrada	EVENT
do	O
bosque	OTHER
dos	O
esquilos	PERSON
.	O
Levaram	O
apenas	O
o	O
telefone	OTHER
,	O
porém	O
,	O
estou	O
enviando	O
essa	O
mensagem	OTHER
,	O
pois	O
os	O
assaltos	EVENT
aqui	O
estão	O
constantes	O
e	O
ali	O
o	O
policiamento	EVENT
é	O
nenhum	O

Todos	O
os	O
dias	O
marginais	O
estão	O
roubando	O
na	O
maioria	OTHER
das	O
vezes	OTHER
em	O
motocicletas	CONSUMER_GOOD
sem	O
placa	OTHER
.	O
Passam	O
fumando	O
maconha	CONSUMER_GOOD
e	O
roubam	O
moradores	PERSON
.	O

Roubaram	O
o	O
carro	CONSUMER_GOOD
da	O
minha	O
esposa	PERSON
,	O
por	O
volta	OTHER
de	O
7	O
:	O
15	O
hs	O
próximo	O
à	O
Praça	O
de	O
Realenão	O
.	O
Um	O
Prisma	OTHER
2015	O
bênção	OTHER
placa	O
LRP	OTHER
5428	O
.	O
Eram	O
dois	O
homens	PERSON
.	O
.	O
.	O
Um	O
mais	O
novo	O
de	O
cor	OTHER
branca	O
e	O
outro	PERSON
na	O
faixa	OTHER
dos	O
59	O
anos	O
mulato	PERSON
.	O

Vários	O
carros	CONSUMER_GOOD
roubados	O
nos	O
apartamentos	LOCATION
da	O
coabe	OTHER
número	OTHER
1501	O
av	OTHER
:	O
dom	PERSON
Hélder	PERSON
camara	O
jacarezinho	OTHER
.	O
.	O
.	O
tem	O
mas	O
de	O
5	O
carros	CONSUMER_GOOD

Carla	O
Cristina	O
mãe	PERSON
de	O
Nathália	O
Cristina	O
,	O
e	O
da	O
Camila	O
Cristina	O
juntas	O
falsificam	O
laudos	OTHER
para	O
ambas	O
partes	OTHER
receberem	O
benefícios	OTHER
do	O
governo	ORGANIZATION
sendo	O
pelo	O
INSS	ORGANIZATION
,	O
encostando	O
com	O
falsos	O
laudos	OTHER
feito	O
por	O
Nathalia	O
Cristina	O
,	O
sendo	O
que	O
primeira	O
e	O
segunda	O
parcela	OTHER
do	O
benefício	OTHER
ficam	O
para	O
as	O
estelionatarias	OTHER
,	O
e	O
as	O
parcelas	OTHER
seguintes	O
para	O
o	O
beneficiário	PERSON
!	O

Carro	CONSUMER_GOOD
roubado	O
abandonado	O
na	O
Trav	OTHER
.	O
Luiz	O
Broto	O
,	O
Pita	O
São	O
Gonçalo	O
.	O
Placa	OTHER
KVO4425	O
Tucson	O
preto	O
.	O
Próximo	O
a	O
igreja	LOCATION
assembléia	O
de	O
Deus	PERSON
.	O
A	O
Polícia	ORGANIZATION
local	O
não	O
faz	O
nada	OTHER
,	O
porque	O
recebe	O
arrego	OTHER
.	O

Ricardinho	PERSON
ladrão	O
de	O
carga	OTHER
com	O
vários	O
comparsas	PERSON
reunidos	O
na	O
rua	O
juiz	PERSON
de	O
fora	O
com	O
um	O
fiesta	CONSUMER_GOOD
branco	O
e	O
um	O
Corsa	CONSUMER_GOOD
cinza	O
vários	O
elemento	OTHER
armados	O

O	O
filho	PERSON
da	O
minha	O
amiga	PERSON
estava	O
indo	O
para	O
a	O
escola	ORGANIZATION
hoje	O
pela	O
manhã	O
,	O
pela	O
rua	LOCATION
da	O
igreja	O
Metodista	O
que	O
dá	O
acesso	OTHER
a	O
praça	O
b	O
,	O
quando	O
ele	O
chega	O
em	O
frente	OTHER
a	O
uma	O
papelaria	OTHER
que	O
tem	O
ali	O
,	O
tinha	O
umas	O
adolescente	PERSON
que	O
tb	O
estavam	O
indo	O
para	O
escola	ORGANIZATION
,	O
quando	O
foram	O
surpreendido	O
por	O
um	O
carro	CONSUMER_GOOD
pedindo	O
informação	OTHER
,	O
quando	O
as	O
garotas	PERSON
foram	O
dar	O
um	O
cara	OTHER
sai	O
do	O
carro	CONSUMER_GOOD
armando	O
e	O
rende	O
elas	O
,	O
o	O
filho	PERSON
da	O
minha	O
amiga	PERSON
que	O
estava	O
só	O
um	O
pouco	O
à	O
frente	OTHER
vira	O
para	O
olhar	O
quando	O
ouve	O
o	O
cara	OTHER
pedindo	O
informação	OTHER
,	O
ai	O
o	O
bandido	PERSON
manda	O
ele	O
voltar	O
,	O
então	O
começa	O
a	O
tortura	EVENT
com	O
os	O
adolescentes	PERSON
,	O
eram	O
3	O
bandidos	PERSON
todos	O
